,Respondent,WebframeDesireNextYear,WebframeWorkedWith
9465,10233,React.js,
9468,10247,Angular.js,Express
9469,10247,,Laravel
9470,10247,,React.js
9471,10247,,jQuery
9472,10247,Django,
9476,10247,Flask,
9480,10247,Ruby on Rails,
9484,10247,Spring,
9488,10247,Vue.js,
9492,10257,Angular.js,Django
9493,10257,,jQuery
9494,10257,Flask,
9496,10278,Angular,ASP.NET
9497,10278,,ASP.NET Core
9498,10278,,Angular
9499,10278,,Angular.js
9500,10278,,Ruby on Rails
9501,10278,,jQuery
9502,10278,ASP.NET Core,
9508,10278,React.js,
9514,10307,Angular,Angular
9515,10307,,Angular.js
9516,10307,,Express
9517,10307,,Laravel
9518,10307,,React.js
9519,10307,,Vue.js
9520,10307,,jQuery
9521,10329,Gatsby,Express
9522,10329,,Gatsby
9523,10329,,React.js
9524,10329,,Vue.js
9525,10329,Vue.js,
9529,10330,Angular,ASP.NET
9530,10330,,ASP.NET Core
9531,10330,,Angular
9532,10330,,jQuery
9533,10330,ASP.NET,
9537,10330,ASP.NET Core,
9541,10330,jQuery,
9545,10332,Angular,Angular.js
9546,10332,,Express
9547,10332,,Gatsby
9548,10332,,React.js
9549,10332,Express,
9553,10332,Gatsby,
9557,10332,React.js,
9561,10332,Vue.js,
9565,10339,Django,Django
9566,10339,Flask,
9567,10339,React.js,
9568,10347,ASP.NET,ASP.NET
9569,10347,,ASP.NET Core
9570,10347,ASP.NET Core,
9572,10355,Angular,Express
9573,10355,,Gatsby
9574,10355,,React.js
9575,10355,,Ruby on Rails
9576,10355,Express,
9580,10355,React.js,
9584,10355,Ruby on Rails,
9588,10355,Vue.js,
9592,10356,ASP.NET,ASP.NET
9593,10356,,ASP.NET Core
9594,10356,,Angular
9595,10356,,Angular.js
9596,10356,,Django
9597,10356,ASP.NET Core,
9602,10356,Django,
9607,10358,Express,Express
9608,10358,,Vue.js
9609,10358,,jQuery
9610,10358,jQuery,
9613,10358,Vue.js,
9616,10359,ASP.NET,ASP.NET
9617,10359,,jQuery
9618,10359,ASP.NET Core,
9620,10359,jQuery,
9622,10362,Flask,Angular
9623,10362,,Flask
9624,10362,,React.js
9625,10362,,Spring
9626,10362,Spring,
9630,10362,Vue.js,
9634,10372,Angular,ASP.NET Core
9635,10372,,Angular
9636,10372,,Angular.js
9637,10372,ASP.NET Core,
9640,10372,Django,
9643,10372,Flask,
9646,10372,Gatsby,
9649,10372,React.js,
9652,10372,Vue.js,
9655,10378,Drupal,Drupal
9656,10391,Express,ASP.NET
9657,10391,,Express
9658,10391,,Flask
9659,10391,,React.js
9660,10391,,Symfony
9661,10391,React.js,
9666,10395,Symfony,Drupal
9667,10395,,Laravel
9668,10395,,Symfony
9669,10422,Angular,Angular.js
9670,10422,,Express
9671,10422,,jQuery
9672,10422,Express,
9675,10482,Django,Django
9676,10482,,jQuery
9677,10485,Angular,ASP.NET
9678,10485,,ASP.NET Core
9679,10485,,Angular
9680,10485,,Express
9681,10485,,Vue.js
9682,10485,Express,
9687,10485,Ruby on Rails,
9692,10492,Django,Django
9693,10492,Flask,
9694,10492,React.js,
9695,10493,ASP.NET Core,ASP.NET
9696,10493,,ASP.NET Core
9697,10493,,React.js
9698,10493,,jQuery
9699,10493,React.js,
9703,10500,Angular,Angular
9704,10500,,Angular.js
9705,10500,,Spring
9706,10500,,jQuery
9707,10500,Angular.js,
9711,10500,jQuery,
9715,10500,Spring,
9719,10518,Angular,Angular
9720,10518,,Angular.js
9721,10518,,Ruby on Rails
9722,10518,,jQuery
9723,10518,Angular.js,
9727,10518,jQuery,
9731,10518,Ruby on Rails,
9735,10560,Django,Flask
9736,10560,Flask,
9737,10565,Django,Django
9738,10565,,React.js
9739,10565,React.js,
9741,10576,Angular,ASP.NET Core
9742,10576,,Angular
9743,10576,,jQuery
9744,10576,ASP.NET Core,
9747,10576,Vue.js,
9750,10585,Express,ASP.NET
9751,10585,,ASP.NET Core
9752,10585,,Express
9753,10585,,React.js
9754,10585,,Spring
9755,10585,,jQuery
9756,10585,React.js,
9762,10585,Spring,
9768,10585,Vue.js,
9774,10647,ASP.NET Core,Laravel
9775,10647,,Vue.js
9776,10647,,jQuery
9777,10647,Express,
9780,10647,Vue.js,
9783,10651,Angular.js,ASP.NET
9784,10651,,ASP.NET Core
9785,10651,,React.js
9786,10651,ASP.NET,
9789,10651,ASP.NET Core,
9792,10651,React.js,
9795,10651,Vue.js,
9798,10661,Django,Django
9799,10661,Flask,
9800,10661,jQuery,
9801,10661,Vue.js,
9802,10668,Django,Django
9803,10668,,Drupal
9804,10668,,Flask
9805,10668,,React.js
9806,10668,,jQuery
9807,10668,jQuery,
9812,10668,React.js,
9817,10668,Spring,
9822,10687,Express,Express
9823,10687,,React.js
9824,10687,,Symfony
9825,10687,,jQuery
9826,10687,React.js,
9830,10687,Ruby on Rails,
9834,10687,Vue.js,
9838,10691,ASP.NET Core,ASP.NET
9839,10691,,ASP.NET Core
9840,10691,,Vue.js
9841,10691,,jQuery
9842,10691,Vue.js,
9846,10692,Angular,ASP.NET
9847,10692,,ASP.NET Core
9848,10692,,Angular
9849,10692,,Angular.js
9850,10692,,jQuery
9851,10692,ASP.NET,
9856,10692,ASP.NET Core,
9861,10694,Django,Flask
9862,10694,,React.js
9863,10694,Flask,
9865,10694,React.js,
9867,10694,Vue.js,
9869,10701,Angular,ASP.NET Core
9870,10701,,Angular
9871,10701,,Angular.js
9872,10701,,jQuery
9873,10701,ASP.NET Core,
9877,10701,Spring,
9881,10711,React.js,React.js
9882,10715,React.js,Express
9883,10715,,React.js
9884,10715,Vue.js,
9886,10725,ASP.NET,ASP.NET
9887,10725,,ASP.NET Core
9888,10725,,Gatsby
9889,10725,,React.js
9890,10725,,jQuery
9891,10725,ASP.NET Core,
9896,10726,Express,React.js
9897,10726,React.js,
9898,10731,Angular.js,ASP.NET
9899,10731,,jQuery
9900,10731,React.js,
9902,10734,Laravel,Angular.js
9903,10734,,Laravel
9904,10734,,React.js
9905,10734,,Vue.js
9906,10734,,jQuery
9907,10734,Vue.js,
9912,10749,Express,Express
9913,10749,,Laravel
9914,10749,,React.js
9915,10749,Laravel,
9918,10749,React.js,
9921,10766,Express,ASP.NET
9922,10766,,Express
9923,10766,,React.js
9924,10766,,Symfony
9925,10766,React.js,
9929,10771,ASP.NET Core,jQuery
9930,10771,Laravel,
9931,10775,Express,Angular.js
9932,10775,,Express
9933,10775,,Gatsby
9934,10775,,React.js
9935,10775,,Spring
9936,10775,,Vue.js
9937,10775,,jQuery
9938,10775,Gatsby,
9945,10775,jQuery,
9952,10775,React.js,
9959,10775,Vue.js,
9966,10786,ASP.NET,ASP.NET
9967,10786,,React.js
9968,10786,,jQuery
9969,10786,ASP.NET Core,
9972,10804,Angular.js,Angular
9973,10804,,Angular.js
9974,10804,,Django
9975,10804,,Express
9976,10804,,Flask
9977,10804,,Laravel
9978,10804,,React.js
9979,10804,,Spring
9980,10804,Django,
9988,10804,Express,
9996,10804,Flask,
10004,10804,React.js,
10012,10804,Vue.js,
10020,10810,ASP.NET Core,ASP.NET
10021,10810,,ASP.NET Core
10022,10811,Express,Angular
10023,10811,,Angular.js
10024,10811,,Express
10025,10811,,React.js
10026,10811,,jQuery
10027,10811,Gatsby,
10032,10811,jQuery,
10037,10811,React.js,
10042,10816,Angular,Express
10043,10816,,React.js
10044,10816,Express,
10046,10816,React.js,
10048,10816,Spring,
10050,10816,Vue.js,
10052,10826,Django,ASP.NET
10053,10826,,Django
10054,10826,,Laravel
10055,10826,,Vue.js
10056,10826,,jQuery
10057,10826,Flask,
10062,10826,jQuery,
10067,10826,Laravel,
10072,10826,Vue.js,
10077,10828,Angular,ASP.NET
10078,10828,,ASP.NET Core
10079,10828,Angular.js,
10081,10828,ASP.NET Core,
10083,10828,React.js,
10085,10829,React.js,React.js
10086,10829,Vue.js,
10087,10831,Angular,ASP.NET
10088,10831,,Angular.js
10089,10831,,jQuery
10090,10831,Angular.js,
10093,10831,Django,
10096,10831,Express,
10099,10831,Flask,
10102,10831,React.js,
10105,10834,Angular,Angular
10106,10834,,Express
10107,10834,Express,
10109,10834,React.js,
10111,10842,Spring,Angular
10112,10842,,Angular.js
10113,10842,,Spring
10114,10842,,jQuery
10115,10845,Django,Django
10116,10845,,Flask
10117,10845,Flask,
10119,10845,React.js,
10121,10894,ASP.NET,ASP.NET
10122,10894,,ASP.NET Core
10123,10894,,jQuery
10124,10894,ASP.NET Core,
10127,10894,jQuery,
10130,10898,Angular,Express
10131,10898,,Laravel
10132,10898,,Vue.js
10133,10898,,jQuery
10134,10898,Express,
10138,10898,jQuery,
10142,10898,React.js,
10146,10898,Vue.js,
10150,10902,Angular.js,Django
10151,10902,,jQuery
10152,10902,Django,
10154,10902,Express,
10156,10902,Flask,
10158,10902,jQuery,
10160,10902,React.js,
10162,10958,React.js,Express
10163,10958,,React.js
10164,10958,Vue.js,
10166,10999,Django,Express
10167,10999,,Flask
10168,10999,,jQuery
10169,10999,Express,
10172,10999,Flask,
10175,10999,jQuery,
10178,11035,Express,Express
10179,11035,,React.js
10180,11035,Gatsby,
10182,11035,React.js,
10184,11035,Vue.js,
10186,11043,ASP.NET Core,ASP.NET
10187,11043,,ASP.NET Core
10188,11043,,Flask
10189,11043,,React.js
10190,11043,,Vue.js
10191,11043,React.js,
10196,11051,Angular,ASP.NET
10197,11051,,ASP.NET Core
10198,11051,,Angular
10199,11051,,Angular.js
10200,11051,,Django
10201,11051,,jQuery
10202,11051,jQuery,
10208,11061,React.js,React.js
10209,11061,,Symfony
10210,11061,,Vue.js
10211,11061,Symfony,
10214,11061,Vue.js,
10217,11069,ASP.NET Core,Django
10218,11069,,Express
10219,11069,,Ruby on Rails
10220,11069,Django,
10223,11069,Express,
10226,11069,Vue.js,
10229,11073,ASP.NET,ASP.NET
10230,11073,,ASP.NET Core
10231,11073,,React.js
10232,11073,,jQuery
10233,11073,ASP.NET Core,
10237,11073,Express,
10241,11073,React.js,
10245,11076,Angular,Spring
10246,11076,,jQuery
10247,11076,Flask,
10249,11076,Vue.js,
10251,11080,Express,Express
10252,11080,,Laravel
10253,11080,,React.js
10254,11080,,jQuery
10255,11080,Laravel,
10259,11080,React.js,
10263,11103,Express,Express
10264,11103,,Symfony
10265,11103,,jQuery
10266,11103,jQuery,
10269,11113,ASP.NET Core,ASP.NET
10270,11113,,ASP.NET Core
10271,11113,,Express
10272,11113,,React.js
10273,11113,,jQuery
10274,11113,Vue.js,
10279,11114,Angular.js,Django
10280,11114,,Vue.js
10281,11114,,jQuery
10282,11114,Django,
10285,11114,Flask,
10288,11114,React.js,
10291,11114,Spring,
10294,11114,Vue.js,
10297,11116,Angular,Angular
10298,11116,,Gatsby
10299,11116,,Spring
10300,11116,,Vue.js
10301,11116,Spring,
10305,11116,Vue.js,
10309,11132,React.js,React.js
10310,11137,Laravel,Laravel
10311,11137,,Vue.js
10312,11137,Vue.js,
10314,11162,jQuery,ASP.NET
10315,11162,,jQuery
10316,11185,Angular,ASP.NET
10317,11185,,ASP.NET Core
10318,11185,,jQuery
10319,11185,Angular.js,
10322,11185,ASP.NET,
10325,11185,ASP.NET Core,
10328,11185,Express,
10331,11185,jQuery,
10334,11185,React.js,
10337,11185,Vue.js,
10340,11186,jQuery,Spring
10341,11186,,jQuery
10342,11186,Spring,
10344,11186,Vue.js,
10346,11191,Symfony,Symfony
10347,11215,Angular.js,Angular.js
10348,11215,,Express
10349,11215,,Flask
10350,11215,,Laravel
10351,11215,,Vue.js
10352,11215,Gatsby,
10357,11215,Laravel,
10362,11215,React.js,
10367,11215,Vue.js,
10372,11224,Express,Angular
10373,11224,,Angular.js
10374,11224,,Express
10375,11224,,Gatsby
10376,11224,,React.js
10377,11224,Gatsby,
10382,11224,React.js,
10387,11244,Angular,Drupal
10388,11244,,Laravel
10389,11244,,React.js
10390,11244,,Symfony
10391,11244,,jQuery
10392,11244,Drupal,
10397,11244,jQuery,
10402,11244,Laravel,
10407,11244,React.js,
10412,11244,Ruby on Rails,
10417,11244,Symfony,
10422,11264,React.js,Angular
10423,11264,,Express
10424,11264,,React.js
10425,11264,,Spring
10426,11264,Spring,
10430,11270,Laravel,Angular.js
10431,11270,,Laravel
10432,11270,React.js,
10434,11278,Angular,ASP.NET
10435,11278,,Angular.js
10436,11278,Angular.js,
10438,11278,ASP.NET,
10440,11278,jQuery,
10442,11278,React.js,
10444,11290,Angular.js,jQuery
10445,11290,jQuery,
10446,11290,Laravel,
10447,11290,React.js,
10448,11290,Vue.js,
10449,11293,React.js,ASP.NET
10450,11317,Express,Angular.js
10451,11317,,Express
10452,11317,,Laravel
10453,11317,,React.js
10454,11317,,jQuery
10455,11317,React.js,
10460,11335,Flask,Angular
10461,11335,,Angular.js
10462,11335,,Flask
10463,11343,Express,React.js
10464,11343,,Ruby on Rails
10465,11343,,jQuery
10466,11343,React.js,
10469,11343,Vue.js,
10472,11355,Gatsby,Angular.js
10473,11355,,Gatsby
10474,11355,,React.js
10475,11355,React.js,
10478,11355,Vue.js,
10481,11368,jQuery,jQuery
10482,11368,React.js,
10483,11368,Ruby on Rails,
10484,11368,Vue.js,
10485,11377,ASP.NET,ASP.NET
10486,11377,,ASP.NET Core
10487,11377,,Angular
10488,11377,,Drupal
10489,11377,,Express
10490,11377,,React.js
10491,11377,,Spring
10492,11377,ASP.NET Core,
10499,11377,Express,
10506,11377,React.js,
10513,11404,jQuery,Laravel
10514,11404,,jQuery
10515,11404,Laravel,
10517,11404,Vue.js,
10519,11419,jQuery,jQuery
10520,11419,Laravel,
10521,11419,Vue.js,
10522,11421,Angular,Angular
10523,11421,React.js,
10524,11421,Vue.js,
10525,11422,Django,Django
10526,11422,,React.js
10527,11422,,Symfony
10528,11422,Symfony,
10531,11438,Django,Django
10532,11438,,Express
10533,11438,,React.js
10534,11438,Flask,
10537,11438,Gatsby,
10540,11438,React.js,
10543,11454,Django,Angular
10544,11454,,Angular.js
10545,11454,,React.js
10546,11454,Flask,
10549,11454,Gatsby,
10552,11454,React.js,
10555,11465,ASP.NET Core,ASP.NET Core
10556,11465,,Express
10557,11468,ASP.NET Core,ASP.NET Core
10558,11468,,Flask
10559,11468,,React.js
10560,11468,Flask,
10563,11468,React.js,
10566,11498,React.js,React.js
10567,11523,React.js,React.js
10568,11538,Express,Express
10569,11538,,React.js
10570,11538,Gatsby,
10572,11538,React.js,
10574,11592,Angular,Spring
10575,11592,React.js,
10576,11592,Spring,
10577,11607,Spring,Spring
10578,11609,Angular,ASP.NET
10579,11609,,ASP.NET Core
10580,11609,,Angular
10581,11609,,Angular.js
10582,11609,,jQuery
10583,11609,ASP.NET Core,
10588,11609,Vue.js,
10593,11614,Angular.js,ASP.NET Core
10594,11614,,Angular.js
10595,11614,,Laravel
10596,11614,,Spring
10597,11614,,jQuery
10598,11614,ASP.NET Core,
10603,11614,jQuery,
10608,11614,React.js,
10613,11614,Vue.js,
10618,11617,Angular,Angular
10619,11617,,Express
10620,11617,,Gatsby
10621,11617,,React.js
10622,11617,,Spring
10623,11617,Express,
10628,11617,Gatsby,
10633,11617,React.js,
10638,11617,Spring,
10643,11618,Gatsby,Gatsby
10644,11618,,Laravel
10645,11618,,React.js
10646,11618,,jQuery
10647,11618,React.js,
10651,11623,ASP.NET Core,ASP.NET
10652,11623,,ASP.NET Core
10653,11623,,Angular.js
10654,11623,,Express
10655,11623,,Vue.js
10656,11623,,jQuery
10657,11623,Vue.js,
10663,11626,Angular,ASP.NET
10664,11626,,ASP.NET Core
10665,11626,,Angular
10666,11626,,Spring
10667,11626,,jQuery
10668,11626,React.js,
10673,11626,Spring,
10678,11626,Vue.js,
10683,11634,Django,Django
10684,11634,,Flask
10685,11634,Flask,
10687,11636,Express,Express
10688,11636,,React.js
10689,11636,,Vue.js
10690,11636,,jQuery
10691,11636,Vue.js,
10695,11644,ASP.NET Core,ASP.NET
10696,11644,,ASP.NET Core
10697,11644,Django,
10699,11655,Angular,ASP.NET
10700,11655,,ASP.NET Core
10701,11655,,Angular
10702,11655,,Angular.js
10703,11655,,Spring
10704,11655,,jQuery
10705,11655,jQuery,
10711,11655,Laravel,
10717,11655,Spring,
10723,11655,Symfony,
10729,11655,Vue.js,
10735,11660,Angular.js,ASP.NET
10736,11660,,ASP.NET Core
10737,11660,,Angular.js
10738,11660,ASP.NET,
10741,11660,ASP.NET Core,
10744,11664,Django,Django
10745,11664,,Gatsby
10746,11664,,React.js
10747,11664,React.js,
10750,11667,Angular,ASP.NET
10751,11667,,ASP.NET Core
10752,11667,,Angular
10753,11667,,Flask
10754,11667,ASP.NET Core,
10758,11667,React.js,
10762,11680,Django,Django
10763,11680,,Flask
10764,11680,,React.js
10765,11680,,Vue.js
10766,11680,,jQuery
10767,11680,Flask,
10772,11680,jQuery,
10777,11680,React.js,
10782,11680,Vue.js,
10787,11702,ASP.NET Core,ASP.NET Core
10788,11702,,React.js
10789,11709,ASP.NET Core,ASP.NET
10790,11709,,ASP.NET Core
10791,11709,,Angular
10792,11709,React.js,
10795,11712,Angular,ASP.NET
10796,11712,,ASP.NET Core
10797,11712,,Angular
10798,11712,,jQuery
10799,11712,ASP.NET Core,
10803,11720,Angular,ASP.NET
10804,11720,,ASP.NET Core
10805,11720,,Angular.js
10806,11720,,React.js
10807,11720,,jQuery
10808,11720,Angular.js,
10813,11720,ASP.NET,
10818,11720,ASP.NET Core,
10823,11720,jQuery,
10828,11720,React.js,
10833,11740,ASP.NET,ASP.NET
10834,11740,,jQuery
10835,11740,jQuery,
10837,11747,ASP.NET,ASP.NET
10838,11747,,ASP.NET Core
10839,11747,,Spring
10840,11747,,jQuery
10841,11747,ASP.NET Core,
10845,11753,Angular,ASP.NET
10846,11753,,ASP.NET Core
10847,11753,,Angular
10848,11753,,Angular.js
10849,11753,,jQuery
10850,11753,Angular.js,
10855,11753,ASP.NET,
10860,11753,ASP.NET Core,
10865,11753,Express,
10870,11753,React.js,
10875,11753,Vue.js,
10880,11764,ASP.NET,ASP.NET
10881,11764,,Vue.js
10882,11764,ASP.NET Core,
10884,11764,Vue.js,
10886,11768,ASP.NET Core,ASP.NET
10887,11768,,ASP.NET Core
10888,11783,Angular,Angular.js
10889,11783,,React.js
10890,11783,ASP.NET,
10892,11783,jQuery,
10894,11783,React.js,
10896,11785,ASP.NET,ASP.NET
10897,11785,,ASP.NET Core
10898,11785,,Angular
10899,11785,,React.js
10900,11785,,Vue.js
10901,11785,,jQuery
10902,11785,ASP.NET Core,
10908,11785,React.js,
10914,11800,Gatsby,Gatsby
10915,11800,,Vue.js
10916,11800,Vue.js,
10918,11818,Drupal,Express
10919,11818,,Vue.js
10920,11818,Express,
10922,11818,Laravel,
10924,11818,Vue.js,
10926,11845,ASP.NET Core,ASP.NET Core
10927,11845,,Laravel
10928,11845,,React.js
10929,11845,,Vue.js
10930,11845,,jQuery
10931,11845,jQuery,
10936,11845,Laravel,
10941,11845,React.js,
10946,11845,Vue.js,
10951,11859,jQuery,Laravel
10952,11859,,jQuery
10953,11859,Laravel,
10955,11861,ASP.NET Core,ASP.NET
10956,11861,,ASP.NET Core
10957,11861,,Angular.js
10958,11861,,React.js
10959,11861,,Vue.js
10960,11861,React.js,
10965,11861,Vue.js,
10970,11865,Flask,Flask
10971,11865,,jQuery
10972,11865,jQuery,
10974,11865,Vue.js,
10976,11870,ASP.NET,ASP.NET
10977,11870,,ASP.NET Core
10978,11870,,Spring
10979,11870,,jQuery
10980,11870,ASP.NET Core,
10984,11870,Django,
10988,11870,jQuery,
10992,11894,ASP.NET Core,ASP.NET
10993,11894,,ASP.NET Core
10994,11910,jQuery,Angular
10995,11910,,Django
10996,11910,,React.js
10997,11910,,Spring
10998,11910,,Vue.js
10999,11910,,jQuery
11000,11910,React.js,
11006,11910,Vue.js,
11012,11911,React.js,React.js
11013,11911,,jQuery
11014,11922,Angular.js,Angular
11015,11922,,Drupal
11016,11922,,Flask
11017,11922,,Laravel
11018,11922,,jQuery
11019,11922,Django,
11024,11922,Flask,
11029,11922,jQuery,
11034,11922,Laravel,
11039,11922,React.js,
11044,11922,Spring,
11049,11922,Symfony,
11054,11922,Vue.js,
11059,11944,Laravel,Angular
11060,11944,,Laravel
11061,11944,,Vue.js
11062,11944,Vue.js,
11065,11955,ASP.NET,ASP.NET
11066,11955,,ASP.NET Core
11067,11955,,Angular.js
11068,11955,,jQuery
11069,11955,ASP.NET Core,
11073,11955,jQuery,
11077,11971,Drupal,Drupal
11078,11971,,Vue.js
11079,11971,Vue.js,
11081,11972,Django,Django
11082,11972,,Flask
11083,11972,,React.js
11084,11972,,jQuery
11085,11972,jQuery,
11089,11972,React.js,
11093,11995,ASP.NET Core,ASP.NET Core
11094,12018,Angular,ASP.NET
11095,12018,,ASP.NET Core
11096,12018,,Angular
11097,12018,,Spring
11098,12018,Spring,
11102,12044,Django,Angular.js
11103,12044,,Django
11104,12044,,Flask
11105,12044,,React.js
11106,12044,,Spring
11107,12044,,Vue.js
11108,12044,,jQuery
11109,12044,Flask,
11116,12044,Spring,
11123,12045,Angular,Angular
11124,12045,,Express
11125,12045,,Flask
11126,12045,,jQuery
11127,12045,Express,
11131,12045,Flask,
11135,12048,Django,Django
11136,12048,,jQuery
11137,12048,React.js,
11139,12048,Vue.js,
11141,12077,Angular.js,Laravel
11142,12077,,Ruby on Rails
11143,12077,Django,
11145,12077,Flask,
11147,12077,React.js,
11149,12077,Symfony,
11151,12086,Angular,Angular
11152,12086,,Express
11153,12086,,Spring
11154,12086,Express,
11157,12086,Spring,
11160,12102,Angular,ASP.NET
11161,12102,,ASP.NET Core
11162,12102,,Angular
11163,12102,,Angular.js
11164,12102,,Vue.js
11165,12102,,jQuery
11166,12102,ASP.NET Core,
11172,12102,React.js,
11178,12102,Vue.js,
11184,12109,Django,Django
11185,12109,,React.js
11186,12109,,jQuery
11187,12109,jQuery,
11190,12109,React.js,
11193,12111,ASP.NET Core,ASP.NET
11194,12111,,ASP.NET Core
11195,12111,,Express
11196,12111,,React.js
11197,12111,,jQuery
11198,12111,React.js,
11203,12120,Flask,Django
11204,12120,,Flask
11205,12120,Ruby on Rails,
11207,12120,Spring,
11209,12124,ASP.NET,ASP.NET
11210,12124,,jQuery
11211,12124,ASP.NET Core,
11213,12124,jQuery,
11215,12124,Laravel,
11217,12124,Symfony,
11219,12127,Django,Django
11220,12127,,Flask
11221,12127,Flask,
11223,12149,Angular,ASP.NET
11224,12149,,Django
11225,12149,,Spring
11226,12175,Flask,ASP.NET
11227,12175,,ASP.NET Core
11228,12175,,Flask
11229,12175,Ruby on Rails,
11232,12192,Angular,Express
11233,12192,,Symfony
11234,12192,,Vue.js
11235,12192,,jQuery
11236,12192,Symfony,
11240,12192,Vue.js,
11244,12200,ASP.NET,ASP.NET
11245,12200,,ASP.NET Core
11246,12200,,Angular
11247,12200,ASP.NET Core,
11250,12208,Express,Express
11251,12208,,React.js
11252,12208,React.js,
11254,12217,Angular,ASP.NET
11255,12217,,ASP.NET Core
11256,12217,,Angular
11257,12217,,Angular.js
11258,12217,,jQuery
11259,12217,ASP.NET,
11264,12217,ASP.NET Core,
11269,12217,jQuery,
11274,12221,Spring,ASP.NET
11275,12221,,ASP.NET Core
11276,12221,,React.js
11277,12221,,Spring
11278,12237,Express,Express
11279,12237,,React.js
11280,12237,React.js,
11282,12255,React.js,ASP.NET
11283,12255,,ASP.NET Core
11284,12255,,Spring
11285,12255,,jQuery
11286,12255,Spring,
11290,12255,Vue.js,
11294,12256,ASP.NET Core,ASP.NET Core
11295,12256,,Angular
11296,12256,,Express
11297,12256,Django,
11300,12256,Express,
11303,12256,Ruby on Rails,
11306,12284,Spring,Spring
11307,12296,Express,Express
11308,12296,,React.js
11309,12296,,Spring
11310,12296,,Symfony
11311,12296,Laravel,
11315,12296,React.js,
11319,12297,React.js,Angular
11320,12297,,Django
11321,12297,,Flask
11322,12297,,jQuery
11323,12297,Ruby on Rails,
11327,12297,Spring,
11331,12299,React.js,Angular
11332,12299,,React.js
11333,12300,Express,Express
11334,12300,,React.js
11335,12300,React.js,
11337,12355,Angular,Express
11338,12355,,React.js
11339,12355,,jQuery
11340,12355,Express,
11343,12355,jQuery,
11346,12355,React.js,
11349,12355,Vue.js,
11352,12359,Angular,ASP.NET
11353,12359,jQuery,
11354,12359,React.js,
11355,12363,Flask,Flask
11356,12391,Angular,Angular.js
11357,12391,,Express
11358,12391,,jQuery
11359,12391,Express,
11362,12391,Vue.js,
11365,12394,Angular,ASP.NET Core
11366,12394,,Angular
11367,12394,ASP.NET Core,
11369,12394,Vue.js,
11371,12411,Ruby on Rails,Ruby on Rails
11372,12411,,Vue.js
11373,12411,,jQuery
11374,12411,Vue.js,
11377,12415,Angular,ASP.NET
11378,12415,,ASP.NET Core
11379,12415,,jQuery
11380,12415,Angular.js,
11383,12415,ASP.NET,
11386,12415,ASP.NET Core,
11389,12415,jQuery,
11392,12415,React.js,
11395,12415,Vue.js,
11398,12454,Angular,ASP.NET
11399,12454,,Angular
11400,12454,,Express
11401,12454,,jQuery
11402,12454,Express,
11406,12454,React.js,
11410,12461,Vue.js,ASP.NET
11411,12461,,ASP.NET Core
11412,12461,,Angular
11413,12461,,Angular.js
11414,12461,,Django
11415,12461,,Drupal
11416,12461,,Gatsby
11417,12461,,React.js
11418,12461,,Vue.js
11419,12461,,jQuery
11420,12462,ASP.NET,ASP.NET
11421,12462,,ASP.NET Core
11422,12462,,Angular.js
11423,12462,,Vue.js
11424,12462,,jQuery
11425,12462,ASP.NET Core,
11430,12467,ASP.NET Core,Angular
11431,12467,,Angular.js
11432,12467,,Gatsby
11433,12467,,Laravel
11434,12467,,React.js
11435,12467,,Spring
11436,12515,Angular,ASP.NET
11437,12515,,ASP.NET Core
11438,12515,,Angular
11439,12515,,jQuery
11440,12515,ASP.NET,
11444,12515,ASP.NET Core,
11448,12515,jQuery,
11452,12515,Vue.js,
11456,12524,Express,Express
11457,12524,,React.js
11458,12524,,Spring
11459,12524,,Vue.js
11460,12524,,jQuery
11461,12524,React.js,
11466,12524,Spring,
11471,12524,Vue.js,
11476,12544,Django,Django
11477,12544,Ruby on Rails,
11478,12545,ASP.NET Core,Angular.js
11479,12545,,Express
11480,12545,,React.js
11481,12545,React.js,
11484,12550,ASP.NET,ASP.NET
11485,12550,,jQuery
11486,12550,ASP.NET Core,
11488,12550,jQuery,
11490,12568,Express,Express
11491,12568,,Gatsby
11492,12568,,React.js
11493,12568,Gatsby,
11496,12568,React.js,
11499,12568,Vue.js,
11502,12581,ASP.NET,ASP.NET
11503,12581,,Spring
11504,12581,Spring,
11506,12589,Django,Flask
11507,12589,,React.js
11508,12589,,Ruby on Rails
11509,12589,,Vue.js
11510,12589,Flask,
11514,12589,Vue.js,
11518,12597,Flask,Drupal
11519,12597,,Flask
11520,12597,,jQuery
11521,12597,React.js,
11524,12599,Django,Django
11525,12599,,Flask
11526,12616,Angular,ASP.NET
11527,12616,,ASP.NET Core
11528,12616,,Angular
11529,12616,,Angular.js
11530,12616,,React.js
11531,12616,,Symfony
11532,12616,,jQuery
11533,12616,Angular.js,
11540,12616,ASP.NET,
11547,12616,ASP.NET Core,
11554,12616,jQuery,
11561,12616,React.js,
11568,12631,Angular,Angular
11569,12631,,Express
11570,12631,,React.js
11571,12631,Express,
11574,12631,React.js,
11577,12642,Express,Angular
11578,12642,,Angular.js
11579,12642,,Express
11580,12642,,React.js
11581,12642,,Vue.js
11582,12642,,jQuery
11583,12642,React.js,
11589,12642,Vue.js,
11595,12665,jQuery,Laravel
11596,12665,,jQuery
11597,12665,Laravel,
11599,12665,Vue.js,
11601,12666,Angular,ASP.NET
11602,12666,,Angular
11603,12666,,Angular.js
11604,12666,,Django
11605,12666,,Express
11606,12666,,Flask
