,Respondent,LanguageDesireNextYear,LanguageWorkedWith
12021,3174,,Python
12022,3174,,R
12023,3174,,TypeScript
12024,3174,JavaScript,
12029,3174,R,
12034,3174,TypeScript,
12039,3179,C#,C#
12040,3179,,HTML/CSS
12041,3179,,Java
12042,3179,,JavaScript
12043,3179,,Objective-C
12044,3179,,SQL
12045,3179,,Swift
12046,3179,,TypeScript
12047,3179,Java,
12055,3179,TypeScript,
12063,3189,SQL,HTML/CSS
12064,3189,,JavaScript
12065,3189,,PHP
12066,3189,,TypeScript
12067,3189,Swift,
12071,3189,TypeScript,
12075,3191,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12076,3191,,HTML/CSS
12077,3191,,JavaScript
12078,3191,,PHP
12079,3191,,SQL
12080,3191,HTML/CSS,
12085,3191,JavaScript,
12090,3191,SQL,
12095,3191,TypeScript,
12100,3202,C#,C#
12101,3202,,HTML/CSS
12102,3202,,JavaScript
12103,3202,HTML/CSS,
12106,3202,JavaScript,
12109,3202,Rust,
12112,3202,TypeScript,
12115,3217,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12116,3217,,C#
12117,3217,,HTML/CSS
12118,3217,,JavaScript
12119,3217,,Python
12120,3217,,SQL
12121,3217,,TypeScript
12122,3217,C#,
12129,3217,HTML/CSS,
12136,3217,JavaScript,
12143,3217,PHP,
12150,3217,Python,
12157,3217,SQL,
12164,3217,TypeScript,
12171,3232,Go,JavaScript
12172,3232,,Ruby
12173,3232,JavaScript,
12175,3232,Python,
12177,3232,Ruby,
12179,3237,Python,Bash/Shell/PowerShell
12180,3237,,Python
12181,3237,,Rust
12182,3237,Rust,
12185,3237,TypeScript,
12188,3267,Go,Go
12189,3267,,HTML/CSS
12190,3267,,JavaScript
12191,3267,,SQL
12192,3267,,TypeScript
12193,3267,HTML/CSS,
12198,3267,JavaScript,
12203,3267,SQL,
12208,3267,Swift,
12213,3267,TypeScript,
12218,3277,C,Assembly
12219,3277,,C
12220,3277,,HTML/CSS
12221,3277,,JavaScript
12222,3277,,Python
12223,3277,HTML/CSS,
12228,3277,JavaScript,
12233,3277,Python,
12238,3285,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12239,3285,,C#
12240,3285,,HTML/CSS
12241,3285,,Java
12242,3285,,JavaScript
12243,3285,,SQL
12244,3285,C#,
12250,3285,Go,
12256,3285,HTML/CSS,
12262,3285,JavaScript,
12268,3285,SQL,
12274,3285,TypeScript,
12280,3302,C#,Bash/Shell/PowerShell
12281,3302,,C#
12282,3302,,HTML/CSS
12283,3302,,JavaScript
12284,3302,,Python
12285,3302,,TypeScript
12286,3302,HTML/CSS,
12292,3302,Python,
12298,3302,TypeScript,
12304,3305,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12305,3305,,C#
12306,3305,,HTML/CSS
12307,3305,,JavaScript
12308,3305,,SQL
12309,3305,C#,
12314,3305,HTML/CSS,
12319,3305,JavaScript,
12324,3305,Python,
12329,3305,SQL,
12334,3305,TypeScript,
12339,3306,Go,Go
12340,3306,,Python
12341,3306,,SQL
12342,3306,Python,
12345,3306,Rust,
12348,3306,SQL,
12351,3327,C#,C#
12352,3327,,HTML/CSS
12353,3327,,JavaScript
12354,3327,,PHP
12355,3327,,SQL
12356,3327,HTML/CSS,
12361,3327,JavaScript,
12366,3327,PHP,
12371,3327,TypeScript,
12376,3335,C#,Bash/Shell/PowerShell
12377,3335,,C#
12378,3335,,HTML/CSS
12379,3335,,JavaScript
12380,3335,,Kotlin
12381,3335,,SQL
12382,3335,,TypeScript
12383,3335,Go,
12390,3335,HTML/CSS,
12397,3335,Rust,
12404,3335,SQL,
12411,3335,TypeScript,
12418,3345,Go,Bash/Shell/PowerShell
12419,3345,,C
12420,3345,,C#
12421,3345,,Go
12422,3345,,JavaScript
12423,3345,,Python
12424,3345,,Rust
12425,3345,,SQL
12426,3345,,TypeScript
12427,3345,Rust,
12436,3360,Go,Go
12437,3360,,HTML/CSS
12438,3360,,JavaScript
12439,3360,,Python
12440,3360,,Ruby
12441,3360,,SQL
12442,3360,JavaScript,
12448,3360,Python,
12454,3360,Rust,
12460,3360,SQL,
12466,3360,TypeScript,
12472,3363,C#,C#
12473,3363,,HTML/CSS
12474,3363,,Java
12475,3363,,JavaScript
12476,3363,,SQL
12477,3363,HTML/CSS,
12482,3363,JavaScript,
12487,3363,SQL,
12492,3363,TypeScript,
12497,3380,Go,C#
12498,3380,,Go
12499,3380,,JavaScript
12500,3380,,TypeScript
12501,3380,JavaScript,
12505,3380,TypeScript,
12509,3389,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12510,3389,,C#
12511,3389,,C++
12512,3389,,HTML/CSS
12513,3389,,JavaScript
12514,3389,,SQL
12515,3389,C#,
12521,3389,Dart,
12527,3389,Go,
12533,3389,HTML/CSS,
12539,3389,JavaScript,
12545,3389,Python,
12551,3389,SQL,
12557,3389,TypeScript,
12563,3392,C#,Bash/Shell/PowerShell
12564,3392,,C#
12565,3392,,HTML/CSS
12566,3392,,Python
12567,3392,,SQL
12568,3392,C++,
12573,3392,Java,
12578,3392,PHP,
12583,3392,Python,
12588,3392,Scala,
12593,3392,SQL,
12598,3401,C#,C#
12599,3401,,HTML/CSS
12600,3401,,JavaScript
12601,3401,,SQL
12602,3401,,TypeScript
12603,3401,Go,
12608,3401,HTML/CSS,
12613,3401,JavaScript,
12618,3401,Python,
12623,3401,TypeScript,
12628,3414,Assembly,Bash/Shell/PowerShell
12629,3414,,C#
12630,3414,,C++
12631,3414,,HTML/CSS
12632,3414,,JavaScript
12633,3414,,PHP
12634,3414,,SQL
12635,3414,,VBA
12636,3414,Bash/Shell/PowerShell,
12644,3414,C#,
12652,3414,C++,
12660,3414,SQL,
12668,3414,TypeScript,
12676,3420,Bash/Shell/PowerShell,Bash/Shell/PowerShell
12677,3420,,C
12678,3420,,C++
12679,3420,,HTML/CSS
12680,3420,,JavaScript
12681,3420,,Python
12682,3420,,Rust
12683,3420,C++,
12690,3420,HTML/CSS,
12697,3420,JavaScript,
12704,3420,Python,
12711,3420,Rust,
12718,3420,TypeScript,
12725,3421,Go,HTML/CSS
12726,3421,,JavaScript
12727,3421,,PHP
12728,3421,,SQL
12729,3421,HTML/CSS,
12733,3421,JavaScript,
12737,3421,SQL,
12741,3421,TypeScript,
12745,3424,C#,C#
12746,3424,,HTML/CSS
12747,3424,,JavaScript
12748,3424,,SQL
12749,3424,,VBA
12750,3424,HTML/CSS,
12755,3424,Java,
12760,3424,JavaScript,
12765,3424,Python,
12770,3424,SQL,
12775,3426,C#,C#
12776,3426,,HTML/CSS
12777,3426,,JavaScript
12778,3426,,SQL
12779,3426,,TypeScript
12780,3426,HTML/CSS,
12785,3426,JavaScript,
12790,3426,Python,
12795,3426,Rust,
12800,3427,Python,HTML/CSS
12801,3427,,JavaScript
12802,3427,,PHP
12803,3427,,Ruby
12804,3427,,SQL
12805,3427,Ruby,
12810,3427,SQL,
12815,3435,HTML/CSS,HTML/CSS
12816,3435,,Java
12817,3435,,JavaScript
12818,3435,,PHP
12819,3435,,Perl
12820,3435,,SQL
12821,3435,Java,
12827,3435,JavaScript,
12833,3435,Python,
12839,3435,SQL,
12845,3435,TypeScript,
12851,3438,HTML/CSS,HTML/CSS
12852,3438,,Java
12853,3438,,JavaScript
12854,3438,,SQL
12855,3438,Java,
12859,3438,JavaScript,
12863,3438,SQL,
12867,3448,C#,C#
12868,3448,,HTML/CSS
12869,3448,,JavaScript
12870,3448,,SQL
12871,3448,Go,
12875,3448,HTML/CSS,
12879,3448,JavaScript,
12883,3448,Python,
12887,3448,SQL,
12891,3448,TypeScript,
12895,3451,C++,C++
12896,3451,,HTML/CSS
12897,3451,,Java
12898,3451,,JavaScript
12899,3451,,Kotlin
12900,3451,,Perl
12901,3451,,Python
12902,3451,,Ruby
12903,3451,,SQL
12904,3451,,Scala
12905,3451,Go,
12915,3451,Haskell,
12925,3451,Java,
12935,3451,Julia,
12945,3451,Kotlin,
12955,3451,Python,
12965,3451,Rust,
12975,3451,Scala,
12985,3455,C#,C#
12986,3455,,C++
12987,3455,,HTML/CSS
12988,3455,,JavaScript
12989,3455,,SQL
12990,3455,C++,
12995,3455,HTML/CSS,
13000,3455,JavaScript,
13005,3455,SQL,
13010,3462,Java,Java
13011,3462,,JavaScript
13012,3462,,Python
13013,3462,,SQL
13014,3462,JavaScript,
13018,3462,Python,
13022,3486,C#,C#
13023,3486,,HTML/CSS
13024,3486,,JavaScript
13025,3486,,Python
13026,3486,,TypeScript
13027,3486,TypeScript,
13032,3497,C#,SQL
13033,3497,,Scala
13034,3497,Kotlin,
13036,3497,Python,
13038,3497,SQL,
13040,3497,TypeScript,
13042,3506,C#,C#
13043,3506,,HTML/CSS
13044,3506,,Java
13045,3506,,JavaScript
13046,3506,,Python
13047,3506,,SQL
13048,3506,C++,
13054,3506,Julia,
13060,3506,Python,
13066,3506,SQL,
13072,3512,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13073,3512,,Go
13074,3512,,HTML/CSS
13075,3512,,JavaScript
13076,3512,,Python
13077,3512,,SQL
13078,3512,,TypeScript
13079,3512,Go,
13086,3512,HTML/CSS,
13093,3512,JavaScript,
13100,3512,Python,
13107,3512,SQL,
13114,3514,Bash/Shell/PowerShell,C#
13115,3514,,HTML/CSS
13116,3514,,JavaScript
13117,3514,,TypeScript
13118,3514,C#,
13122,3514,HTML/CSS,
13126,3514,TypeScript,
13130,3560,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13131,3560,,C#
13132,3560,,HTML/CSS
13133,3560,,JavaScript
13134,3560,,Python
13135,3560,,SQL
13136,3560,C,
13142,3560,C#,
13148,3560,JavaScript,
13154,3560,Python,
13160,3560,Rust,
13166,3560,SQL,
13172,3560,TypeScript,
13178,3568,HTML/CSS,HTML/CSS
13179,3568,,JavaScript
13180,3568,,PHP
13181,3568,,SQL
13182,3568,JavaScript,
13186,3568,PHP,
13190,3568,SQL,
13194,3573,C#,C#
13195,3573,,HTML/CSS
13196,3573,,JavaScript
13197,3573,,SQL
13198,3573,HTML/CSS,
13202,3573,JavaScript,
13206,3573,SQL,
13210,3589,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13211,3589,,JavaScript
13212,3589,,Python
13213,3589,Go,
13216,3589,JavaScript,
13219,3589,Python,
13222,3590,Assembly,C#
13223,3590,,HTML/CSS
13224,3590,,PHP
13225,3590,,SQL
13226,3590,C#,
13230,3590,C++,
13234,3590,Go,
13238,3590,HTML/CSS,
13242,3590,PHP,
13246,3590,SQL,
13250,3592,Go,HTML/CSS
13251,3592,,JavaScript
13252,3592,,PHP
13253,3592,,Ruby
13254,3592,,SQL
13255,3592,HTML/CSS,
13260,3592,JavaScript,
13265,3592,PHP,
13270,3592,Rust,
13275,3592,SQL,
13280,3592,TypeScript,
13285,3595,C#,C#
13286,3595,,SQL
13287,3595,SQL,
13289,3607,C#,C#
13290,3607,,JavaScript
13291,3607,,SQL
13292,3607,,VBA
13293,3607,JavaScript,
13297,3607,SQL,
13301,3607,VBA,
13305,3610,HTML/CSS,HTML/CSS
13306,3610,,JavaScript
13307,3610,JavaScript,
13309,3610,TypeScript,
13311,3616,Haskell,PHP
13312,3616,,Python
13313,3616,,SQL
13314,3616,PHP,
13317,3616,Python,
13320,3616,SQL,
13323,3617,C#,C#
13324,3617,,Go
13325,3617,,Rust
13326,3617,Rust,
13329,3619,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13330,3619,,Dart
13331,3619,,HTML/CSS
13332,3619,,Java
13333,3619,,JavaScript
13334,3619,,Kotlin
13335,3619,,SQL
13336,3619,,TypeScript
13337,3619,Dart,
13345,3619,HTML/CSS,
13353,3619,Java,
13361,3619,JavaScript,
13369,3619,Kotlin,
13377,3619,SQL,
13385,3619,TypeScript,
13393,3633,C#,Bash/Shell/PowerShell
13394,3633,,HTML/CSS
13395,3633,,JavaScript
13396,3633,,Python
13397,3633,,SQL
13398,3633,,TypeScript
13399,3633,JavaScript,
13405,3633,TypeScript,
13411,3636,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13412,3636,,C
13413,3636,,C++
13414,3636,,Java
13415,3636,,Python
13416,3636,C,
13421,3636,C++,
13426,3636,Java,
13431,3636,Python,
13436,3646,Python,JavaScript
13437,3646,,Python
13438,3646,,SQL
13439,3646,,TypeScript
13440,3646,SQL,
13444,3646,TypeScript,
13448,3650,Java,Java
13449,3650,,JavaScript
13450,3650,,SQL
13451,3650,,TypeScript
13452,3650,JavaScript,
13456,3650,Kotlin,
13460,3650,Objective-C,
13464,3650,Python,
13468,3650,SQL,
13472,3650,Swift,
13476,3650,TypeScript,
13480,3661,HTML/CSS,Bash/Shell/PowerShell
13481,3661,,C#
13482,3661,,C++
13483,3661,,HTML/CSS
13484,3661,,Haskell
13485,3661,,Java
13486,3661,,JavaScript
13487,3661,,SQL
13488,3661,,TypeScript
13489,3661,JavaScript,
13498,3661,TypeScript,
13507,3663,C#,Bash/Shell/PowerShell
13508,3663,,C#
13509,3663,,Go
13510,3663,,HTML/CSS
13511,3663,,JavaScript
13512,3663,,SQL
13513,3663,,TypeScript
13514,3663,Go,
13521,3663,Haskell,
13528,3663,JavaScript,
13535,3663,Kotlin,
13542,3663,Python,
13549,3663,Rust,
13556,3663,SQL,
13563,3663,Swift,
13570,3663,TypeScript,
13577,3681,Assembly,Dart
13578,3681,,HTML/CSS
13579,3681,,Java
13580,3681,,JavaScript
13581,3681,,Kotlin
13582,3681,,PHP
13583,3681,,SQL
13584,3681,C,
13591,3681,C++,
13598,3681,Dart,
13605,3681,HTML/CSS,
13612,3681,Java,
13619,3681,JavaScript,
13626,3681,Kotlin,
13633,3681,Perl,
13640,3681,PHP,
13647,3681,Python,
13654,3681,SQL,
13661,3681,Swift,
13668,3686,Bash/Shell/PowerShell,C#
13669,3686,,HTML/CSS
13670,3686,,Java
13671,3686,,JavaScript
13672,3686,,PHP
13673,3686,,Python
13674,3686,Go,
13680,3686,HTML/CSS,
13686,3686,JavaScript,
13692,3686,Python,
13698,3690,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13699,3690,,C#
13700,3690,,HTML/CSS
13701,3690,,SQL
13702,3690,C#,
13706,3690,HTML/CSS,
13710,3690,SQL,
13714,3716,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13715,3716,,Go
13716,3716,,HTML/CSS
13717,3716,,JavaScript
13718,3716,,Kotlin
13719,3716,,PHP
13720,3716,,Python
13721,3716,,Ruby
13722,3716,,SQL
13723,3716,Go,
13732,3716,HTML/CSS,
13741,3716,JavaScript,
13750,3716,Python,
13759,3716,Rust,
13768,3716,SQL,
13777,3719,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13778,3719,,C#
13779,3719,,HTML/CSS
13780,3719,,JavaScript
13781,3719,,PHP
13782,3719,,Ruby
13783,3719,,SQL
13784,3719,HTML/CSS,
13791,3719,JavaScript,
13798,3719,Python,
13805,3719,Rust,
13812,3719,SQL,
13819,3719,TypeScript,
13826,3721,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13827,3721,,C
13828,3721,,JavaScript
13829,3721,,Python
13830,3721,,R
13831,3721,,SQL
13832,3721,C,
13838,3721,JavaScript,
13844,3721,Python,
13850,3721,Rust,
13856,3721,SQL,
13862,3721,TypeScript,
13868,3734,Assembly,Assembly
13869,3734,,C#
13870,3734,,HTML/CSS
13871,3734,,JavaScript
13872,3734,,SQL
13873,3734,C#,
13878,3734,HTML/CSS,
13883,3734,JavaScript,
13888,3734,Rust,
13893,3734,SQL,
13898,3740,HTML/CSS,HTML/CSS
13899,3740,,JavaScript
13900,3740,,PHP
13901,3740,,Python
13902,3740,,SQL
13903,3740,JavaScript,
13908,3740,Kotlin,
13913,3740,PHP,
13918,3740,Python,
13923,3740,SQL,
13928,3740,TypeScript,
13933,3746,Bash/Shell/PowerShell,Bash/Shell/PowerShell
13934,3746,,C#
13935,3746,,Go
13936,3746,,HTML/CSS
13937,3746,,JavaScript
13938,3746,,Python
13939,3746,,SQL
13940,3746,,TypeScript
13941,3746,Go,
13949,3746,JavaScript,
13957,3746,Kotlin,
13965,3746,Python,
13973,3746,Rust,
13981,3746,TypeScript,
13989,3754,C#,C#
13990,3754,,HTML/CSS
13991,3754,,JavaScript
13992,3754,,SQL
13993,3754,,TypeScript
13994,3754,HTML/CSS,
13999,3754,JavaScript,
14004,3754,SQL,
14009,3754,TypeScript,
14014,3757,Go,Go
14015,3757,,HTML/CSS
14016,3757,,JavaScript
14017,3757,,Python
14018,3757,JavaScript,
14022,3757,Python,
14026,3757,Scala,
14030,3768,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14031,3768,,C#
14032,3768,,Dart
14033,3768,,HTML/CSS
14034,3768,,JavaScript
14035,3768,,Kotlin
14036,3768,,Python
14037,3768,,SQL
14038,3768,,TypeScript
14039,3768,C#,
14048,3768,Python,
14057,3768,TypeScript,
14066,3769,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14067,3769,,C++
14068,3769,,HTML/CSS
14069,3769,,Java
14070,3769,,JavaScript
14071,3769,,Objective-C
14072,3769,,PHP
14073,3769,,SQL
14074,3769,,Swift
14075,3769,,TypeScript
14076,3769,,VBA
14077,3769,C++,
14088,3769,HTML/CSS,
14099,3769,Java,
14110,3769,JavaScript,
14121,3769,Objective-C,
14132,3769,PHP,
14143,3769,SQL,
14154,3769,Swift,
14165,3769,TypeScript,
14176,3769,VBA,
14187,3793,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14188,3793,,HTML/CSS
14189,3793,,Python
14190,3793,,SQL
14191,3793,,VBA
14192,3793,HTML/CSS,
14197,3793,JavaScript,
14202,3793,Python,
14207,3793,SQL,
14212,3793,VBA,
14217,3818,Python,Python
14218,3818,,SQL
14219,3818,SQL,
14221,3841,Dart,Bash/Shell/PowerShell
14222,3841,,Dart
14223,3841,,Go
14224,3841,,HTML/CSS
14225,3841,,JavaScript
14226,3841,,TypeScript
14227,3841,Kotlin,
14233,3841,TypeScript,
14239,3853,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14240,3853,,Go
14241,3853,,HTML/CSS
14242,3853,,Java
14243,3853,,JavaScript
14244,3853,,Objective-C
14245,3853,,SQL
14246,3853,Java,
14253,3853,JavaScript,
14260,3853,Objective-C,
14267,3853,SQL,
14274,3855,C#,Assembly
14275,3855,,C#
14276,3855,,C++
14277,3855,,HTML/CSS
14278,3855,,JavaScript
14279,3855,,SQL
14280,3855,,TypeScript
14281,3855,HTML/CSS,
14288,3855,JavaScript,
14295,3855,SQL,
14302,3855,TypeScript,
14309,3864,C#,Bash/Shell/PowerShell
14310,3864,,HTML/CSS
14311,3864,,JavaScript
14312,3864,,Python
14313,3864,,Ruby
14314,3864,,SQL
14315,3864,,TypeScript
14316,3864,JavaScript,
14323,3864,TypeScript,
14330,3879,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14331,3879,,HTML/CSS
14332,3879,,JavaScript
14333,3879,,Python
14334,3879,HTML/CSS,
14338,3879,JavaScript,
14342,3879,Python,
14346,3889,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14347,3889,,Go
14348,3889,,HTML/CSS
14349,3889,,Java
14350,3889,,JavaScript
14351,3889,,Python
14352,3889,,Rust
14353,3889,,SQL
14354,3889,,Scala
14355,3889,,TypeScript
14356,3889,Go,
14366,3889,HTML/CSS,
14376,3889,Java,
14386,3889,JavaScript,
14396,3889,Python,
14406,3889,Rust,
14416,3889,SQL,
14426,3891,C#,Bash/Shell/PowerShell
14427,3891,,C#
14428,3891,,HTML/CSS
14429,3891,,JavaScript
14430,3891,,SQL
14431,3891,Go,
14436,3891,JavaScript,
14441,3891,Ruby,
14446,3891,Rust,
14451,3896,HTML/CSS,HTML/CSS
14452,3896,,JavaScript
14453,3896,,Ruby
14454,3896,,SQL
14455,3896,JavaScript,
14459,3896,Ruby,
14463,3896,SQL,
14467,3904,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14468,3904,,HTML/CSS
14469,3904,,JavaScript
14470,3904,,PHP
14471,3904,,SQL
14472,3904,,TypeScript
14473,3904,HTML/CSS,
14479,3904,JavaScript,
14485,3904,Kotlin,
14491,3904,PHP,
14497,3904,Python,
14503,3904,Rust,
14509,3904,SQL,
14515,3904,TypeScript,
14521,3907,Assembly,Bash/Shell/PowerShell
14522,3907,,HTML/CSS
14523,3907,,Java
14524,3907,,JavaScript
14525,3907,,Kotlin
14526,3907,,Python
14527,3907,Bash/Shell/PowerShell,
14533,3907,C,
14539,3907,C++,
14545,3907,HTML/CSS,
14551,3907,JavaScript,
14557,3907,Kotlin,
14563,3907,Python,
14569,3923,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14570,3923,,C#
14571,3923,,HTML/CSS
14572,3923,,JavaScript
14573,3923,,PHP
14574,3923,,SQL
14575,3923,C#,
14581,3923,HTML/CSS,
14587,3923,JavaScript,
14593,3923,Python,
14599,3923,SQL,
14605,3955,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14606,3955,,C#
14607,3955,,HTML/CSS
14608,3955,,JavaScript
14609,3955,,PHP
14610,3955,,Perl
14611,3955,,Python
14612,3955,,SQL
14613,3955,,Swift
14614,3955,C#,
14623,3955,Go,
14632,3955,HTML/CSS,
14641,3955,JavaScript,
14650,3955,SQL,
14659,3967,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14660,3967,,C#
14661,3967,,HTML/CSS
14662,3967,,JavaScript
14663,3967,,SQL
14664,3967,C#,
14669,3967,HTML/CSS,
14674,3967,JavaScript,
14679,3967,SQL,
14684,3976,C++,HTML/CSS
14685,3976,,JavaScript
14686,3976,,PHP
14687,3976,,Python
14688,3976,,SQL
14689,3976,Kotlin,
14694,3976,Python,
14699,3976,SQL,
14704,3981,C,C#
14705,3981,,Go
14706,3981,,HTML/CSS
14707,3981,,JavaScript
14708,3981,,Objective-C
14709,3981,,Rust
14710,3981,,Swift
14711,3981,,TypeScript
14712,3981,C#,
14720,3981,Rust,
14728,3981,TypeScript,
14736,3998,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14737,3998,,C#
14738,3998,,HTML/CSS
14739,3998,,JavaScript
14740,3998,,SQL
14741,3998,,TypeScript
14742,3998,C#,
14748,3998,HTML/CSS,
14754,3998,SQL,
14760,3998,TypeScript,
14766,4024,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14767,4024,,C
14768,4024,,Java
14769,4024,,JavaScript
14770,4024,,Python
14771,4024,,Rust
14772,4024,,SQL
14773,4024,,TypeScript
14774,4024,C,
14782,4024,JavaScript,
14790,4024,Python,
14798,4024,Rust,
14806,4024,SQL,
14814,4024,TypeScript,
14822,4027,C#,Go
14823,4027,,HTML/CSS
14824,4027,,JavaScript
14825,4027,,Julia
14826,4027,,PHP
14827,4027,,Python
14828,4027,,R
14829,4027,,Ruby
14830,4027,,SQL
14831,4027,,Scala
14832,4027,C++,
14842,4027,Go,
14852,4027,Julia,
14862,4027,Python,
14872,4027,Scala,
14882,4027,SQL,
14892,4041,Go,C#
14893,4041,,C++
14894,4041,,Rust
14895,4041,,SQL
14896,4041,Kotlin,
14900,4041,Python,
14904,4041,Scala,
14908,4054,C#,C#
14909,4054,,JavaScript
14910,4054,,Python
14911,4054,,SQL
14912,4054,Python,
14916,4054,SQL,
14920,4072,JavaScript,JavaScript
14921,4072,,Ruby
14922,4072,Ruby,
14924,4083,C,Go
14925,4083,,Java
14926,4083,,JavaScript
14927,4083,Haskell,
14930,4083,Julia,
14933,4083,Rust,
14936,4083,Scala,
14939,4085,C#,C#
14940,4085,,C++
14941,4085,,HTML/CSS
14942,4085,,JavaScript
14943,4085,,SQL
14944,4085,JavaScript,
14949,4085,Rust,
14954,4085,SQL,
14959,4085,TypeScript,
14964,4087,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14965,4087,,Java
14966,4087,,Python
14967,4087,Java,
14970,4087,Python,
14973,4087,Scala,
14976,4089,JavaScript,C#
14977,4089,,HTML/CSS
14978,4089,,JavaScript
14979,4089,,PHP
14980,4089,,SQL
14981,4089,PHP,
14986,4089,Ruby,
14991,4089,TypeScript,
14996,4096,Bash/Shell/PowerShell,Bash/Shell/PowerShell
14997,4096,,HTML/CSS
14998,4096,,Java
14999,4096,,JavaScript
15000,4096,,Kotlin
15001,4096,,Python
15002,4096,,SQL
15003,4096,,Scala
15004,4096,,Swift
15005,4096,,TypeScript
15006,4096,Go,
15016,4096,HTML/CSS,
15026,4096,Java,
15036,4096,JavaScript,
15046,4096,Kotlin,
15056,4096,Python,
15066,4096,SQL,
15076,4096,TypeScript,
15086,4119,Go,Go
15087,4119,,HTML/CSS
15088,4119,,JavaScript
15089,4119,,PHP
15090,4119,,SQL
15091,4119,,TypeScript
15092,4119,HTML/CSS,
15098,4119,JavaScript,
15104,4119,TypeScript,
15110,4125,Bash/Shell/PowerShell,Bash/Shell/PowerShell
15111,4125,,C
15112,4125,,C#
15113,4125,,C++
15114,4125,,HTML/CSS
15115,4125,,JavaScript
15116,4125,,SQL
15117,4125,,TypeScript
15118,4125,C#,
15126,4125,HTML/CSS,
15134,4125,JavaScript,
15142,4125,SQL,
15150,4125,TypeScript,
15158,4143,Go,Bash/Shell/PowerShell
15159,4143,,Go
15160,4143,,HTML/CSS
15161,4143,,JavaScript
15162,4143,,Ruby
15163,4143,Ruby,
15168,4152,JavaScript,Java
15169,4152,,JavaScript
15170,4152,,Kotlin
15171,4152,,SQL
15172,4152,,Swift
15173,4152,Swift,
15178,4158,Bash/Shell/PowerShell,Bash/Shell/PowerShell
15179,4158,,C#
15180,4158,,HTML/CSS
15181,4158,,JavaScript
15182,4158,,Ruby
15183,4158,,SQL
15184,4158,,TypeScript
15185,4158,C#,
15192,4158,HTML/CSS,
15199,4158,JavaScript,
15206,4158,SQL,
15213,4183,Bash/Shell/PowerShell,Bash/Shell/PowerShell
15214,4183,,HTML/CSS
15215,4183,,Python
15216,4183,Go,
15219,4183,Python,
15222,4194,C#,C#
15223,4194,,HTML/CSS
15224,4194,,JavaScript
15225,4194,,Python
15226,4194,,SQL
15227,4194,,TypeScript
15228,4194,,VBA
15229,4194,HTML/CSS,
15236,4194,Python,
15243,4194,SQL,
15250,4194,TypeScript,
15257,4199,C#,Bash/Shell/PowerShell
15258,4199,,C#
15259,4199,,HTML/CSS
15260,4199,,JavaScript
15261,4199,,Python
15262,4199,,TypeScript
15263,4199,TypeScript,
15269,4208,Dart,Dart
15270,4208,,Java
15271,4208,,SQL
15272,4208,,TypeScript
15273,4208,Java,
15277,4208,JavaScript,
15281,4208,SQL,
15285,4208,TypeScript,
15289,4210,Go,Python
15290,4210,Python,
15291,4215,C#,C#
15292,4215,,HTML/CSS
15293,4215,,JavaScript
15294,4215,,TypeScript
15295,4215,JavaScript,
15299,4215,TypeScript,
15303,4221,C#,Dart
15304,4221,,HTML/CSS
15305,4221,,Python
15306,4221,,SQL
15307,4221,Dart,
15311,4221,HTML/CSS,
15315,4221,Python,
15319,4221,SQL,
15323,4227,Haskell,C#
15324,4227,,JavaScript
15325,4227,,Python
15326,4227,,Rust
15327,4227,,TypeScript
15328,4227,Rust,
15333,4227,Scala,
15338,4227,Swift,
15343,4227,TypeScript,
15348,4231,C#,C#
15349,4231,,C++
15350,4231,C++,
15352,4231,Python,
15354,4235,Assembly,Bash/Shell/PowerShell
15355,4235,,HTML/CSS
15356,4235,,PHP
15357,4235,,Python
15358,4235,,SQL
15359,4235,Bash/Shell/PowerShell,
15364,4235,C,
15369,4235,C++,
15374,4235,PHP,
15379,4235,Python,
15384,4235,Rust,
15389,4235,SQL,
15394,4242,Assembly,Bash/Shell/PowerShell
15395,4242,,C#
15396,4242,,HTML/CSS
15397,4242,,JavaScript
15398,4242,,Python
